UNIVERSAL PRODUCT CODE,QUANTITY
8053800943031,1
8053800943024,1
8053800941532,1
8053800940122,1
8053800940047,1
8053800940030,1
8053800940023,1
8053670717343,1
8053670717206,1
8053670717190,1
8053670712195,1
8053670712188,1
8053670712171,1
8053670712164,1
8053670712157,1
8053670712140,1
4806015568629,1
4806015567905,1
4806015567899,1
4806015566458,1
4806015564195,1
4806015520092,1
4806015520009,1
4806015519966,1
4806015519911,1
4806015519126,1
4806015518686,1
4806015518570,1
4806015517191,1
4806015517009,1
4806015516569,1
4806015516323,1
4806015516156,1
4806015515777,1
4806015515678,1
4806015514879,1
4806015514862,1
4806015514855,1
4806015514848,1
4806015514732,1
4806015514701,1
4806015514534,1
4806015514480,1
4806015514473,1
4806015514336,1
4806015514312,1
4806015514299,1
4806015514213,1
4806015514176,1
4806015514169,1
4806015514145,1
4806015512899,1
4806015512837,1
4806015512806,1
4806015512615,1
897903003418,1
897903003371,1
897903003180,1
897903003173,1
897903003104,1
897903003098,1
897903003012,1
897903002770,1
897903002749,1
897903002718,1
897903002688,1
897903002374,1
897903002350,1
897903002312,1
897903002213,1
869481000189,1
869481000172,1
869481000165,1
869481000103,1
868042198037,1
867114000117,1
866955000362,1
866955000355,1
866955000317,1
866281000388,1
860942000229,1
860247000795,1
860247000771,1
860247000764,1
860247000733,1
860247000726,1
860247000719,1
860247000702,1
859735005992,1
859735005985,1
859735005978,1
859735005961,1
859735005954,1
859735005947,1
859735005930,1
859735005923,1
859735005916,1
859735005893,1
857679003500,1
857679003449,1
857679003432,1
857679003425,1
857679003418,1
857679003326,1
857679003319,1
857679003302,1
857679003296,1
857679003203,1
857679003197,1
857679003180,1
857679003173,1
857679003166,1
857679003159,1
857679003142,1
857679003135,1
857679003081,1
857679003074,1
857679003067,1
857679003050,1
857679003036,1
857679003029,1
857679003012,1
857679003005,1
856304004967,1
856304004806,1
856304004790,1
856304004783,1
856304004776,1
856304004745,1
856304004691,1
856183006991,1
856183006984,1
856183006977,1
856183006854,1
856183006847,1
856183006083,1
856183006076,1
856183006021,1
856183006014,1
856183006007,1
856177006730,1
855877004367,1
855877004343,1
855319005624,1
855319005617,1
855319005600,1
855319005129,1
855319005105,1
855319005099,1
855319005075,1
855319005051,1
855319005044,1
855319005037,1
855319005020,1
855319005013,1
855193006878,1
855148002610,1
855148002443,1
854026005453,1
854026005439,1
853677007762,1
853677007731,1
853677007670,1
853677007359,1
853677007052,1
853427007790,1
853427007479,1
853427007448,1
853427007431,1
853427007318,1
853427007172,1
853427007141,1
853143008668,1
853143008514,1
852993007739,1
852548002592,1
851799004553,1
851799004522,1
851799004515,1
851799004508,1
851799004485,1
851799004454,1
851799004447,1
851799004355,1
851799004256,1
851799004003,1
851154008776,1
851154008141,1
850016966148,1
850016966117,1
850016966100,1
850013592654,1
850013592647,1
850013592289,1
850013592203,1
850013592128,1
850013592043,1
850006403509,1
850002972641,1
850000857360,1
848037058614,1
848037057853,1
848037056276,1
848037055477,1
848037055088,1
848037051417,1
848037051332,1
848037050915,1
848037050557,1
848037047564,1
848037036131,1
848037028464,1
848037016928,1
848037005564,1
848037000033,1
848037000026,1
848037000019,1
847313016652,1
847313016645,1
847313016621,1
847313016591,1
847313016584,1
847313016454,1
847313016447,1
847313016003,1
847313015990,1
847313015822,1
847313015815,1
847313015808,1
847313015679,1
845737013189,1
845737013172,1
845737013165,1
845737013141,1
845737013103,1
